,domains,state-province,country,alpha_two_code,web_pages,name
0,['rhul.ac.uk'],,United Kingdom,GB,['https://rhul.ac.uk'],Royal Holloway University of London
1,"['myport.ac.uk', 'myport.port.ac.uk']",,United Kingdom,GB,['https://myport.port.ac.uk'],University of Portsmouth
2,['futureworks.ac.uk'],,United Kingdom,GB,['https://futureworks.ac.uk/'],Futureworks
3,['arts.ac.uk'],,United Kingdom,GB,['https://www.arts.ac.uk'],University of the Arts London
4,"['abdn.ac.uk', 'aberdeen.ac.uk']",,United Kingdom,GB,['http://www.abdn.ac.uk/'],University of Aberdeen
5,['aber.ac.uk'],,United Kingdom,GB,['http://www.aber.ac.uk/'],"University of Wales, Aberystwyth"
6,['abertay.ac.uk'],,United Kingdom,GB,['http://www.abertay.ac.uk/'],University of Abertay Dundee
7,['aiuniv.edu'],,United Kingdom,GB,['http://www.aiuniv.edu/'],American InterContinental University - London
8,['anglia.ac.uk'],,United Kingdom,GB,['http://www.anglia.ac.uk/'],Anglia Ruskin University
9,['aston.ac.uk'],,United Kingdom,GB,['http://www.aston.ac.uk/'],Aston University
10,['aul.edu'],,United Kingdom,GB,['http://www.aul.edu/'],The American University in London
11,['bangor.ac.uk'],,United Kingdom,GB,['http://www.bangor.ac.uk/'],"University of Wales, Bangor"
12,['bath.ac.uk'],,United Kingdom,GB,['http://www.bath.ac.uk/'],University of Bath
13,['bathspa.ac.uk'],,United Kingdom,GB,['https://www.bathspa.ac.uk/'],Bath Spa University
14,['bbk.ac.uk'],,United Kingdom,GB,['http://www.bbk.ac.uk/'],"Birkbeck College, University of London"
15,['bcom.ac.uk'],,United Kingdom,GB,['http://www.bcom.ac.uk/'],British College of Osteopathic Medicine
16,['bcu.ac.uk'],,United Kingdom,GB,['http://www.bcu.ac.uk/'],Birmingham City University
17,['beds.ac.uk'],,United Kingdom,GB,['http://www.beds.ac.uk/'],University of Bedfordshire
18,['bham.ac.uk'],,United Kingdom,GB,['http://www.bham.ac.uk/'],University of Birmingham
19,['bolton.ac.uk'],,United Kingdom,GB,['http://www.bolton.ac.uk/'],University of Bolton
20,['bournemouth.ac.uk'],,United Kingdom,GB,['http://www.bournemouth.ac.uk/'],Bournemouth University
21,['brad.ac.uk'],,United Kingdom,GB,['http://www.brad.ac.uk/'],University of Bradford
22,['brijnet.org'],,United Kingdom,GB,['http://www.brijnet.org/lsjs/'],London School of Jewish Studies
23,"['bristol.ac.uk', 'bris.ac.uk']",,United Kingdom,GB,['https://www.bristol.ac.uk/'],University of Bristol
24,['brookes.ac.uk'],,United Kingdom,GB,['http://www.brookes.ac.uk/'],Oxford Brookes University
25,['brunel.ac.uk'],,United Kingdom,GB,['http://www.brunel.ac.uk/'],Brunel University Uxbridge
26,['bton.ac.uk'],,United Kingdom,GB,['http://www.bton.ac.uk/'],University of Brighton
27,['buck.ac.uk'],,United Kingdom,GB,['http://www.buck.ac.uk/'],University of Buckingham
28,['bucks.ac.uk'],,United Kingdom,GB,['http://www.bucks.ac.uk/'],Buckinghamshire New University
29,['cam.ac.uk'],,United Kingdom,GB,['http://www.cam.ac.uk/'],University of Cambridge
30,['camb.linst.ac.uk'],,United Kingdom,GB,['http://www.camb.linst.ac.uk/'],Camberwell College of Arts
31,['canterbury.ac.uk'],Canterbury,United Kingdom,GB,['http://www.canterbury.ac.uk/'],Canterbury Christ Church University
32,"['cardiff.ac.uk', 'cf.ac.uk']",,United Kingdom,GB,['http://www.cardiff.ac.uk/'],Cardiff University
33,['chelsea.linst.ac.uk'],,United Kingdom,GB,['http://www.chelsea.linst.ac.uk/'],Chelsea College of Art and Design
34,['chester.ac.uk'],,United Kingdom,GB,['http://www.chester.ac.uk/'],University of Chester
35,['city.ac.uk'],,United Kingdom,GB,['http://www.city.ac.uk/'],City University
36,['courtauld.ac.uk'],,United Kingdom,GB,['http://www.courtauld.ac.uk/'],"Courtauld Institute of Art, University of London"
37,['coventry.ac.uk'],,United Kingdom,GB,['http://www.coventry.ac.uk/'],Coventry University
38,['cranfield.ac.uk'],,United Kingdom,GB,['http://www.cranfield.ac.uk/'],Cranfield University
39,['csm.linst.ac.uk'],,United Kingdom,GB,['http://www.csm.linst.ac.uk/'],Central Saint Martins College of Art & Design
40,['derby.ac.uk'],,United Kingdom,GB,['http://www.derby.ac.uk/'],University of Derby
41,['dmu.ac.uk'],,United Kingdom,GB,['http://www.dmu.ac.uk/'],De Montfort University Leicester
42,['dundee.ac.uk'],,United Kingdom,GB,['http://www.dundee.ac.uk/'],University of Dundee
43,['dur.ac.uk'],,United Kingdom,GB,['http://www.dur.ac.uk/'],University of Durham
44,['edgehill.ac.uk'],,United Kingdom,GB,['http://www.edgehill.ac.uk/'],Edge Hill University
45,['ed.ac.uk'],,United Kingdom,GB,['http://www.ed.ac.uk/'],University of Edinburgh
46,['eselondon.ac.uk'],,United Kingdom,GB,['http://www.eselondon.ac.uk/'],European School of Economics
47,"['essex.ac.uk', 'sx.ac.uk']",,United Kingdom,GB,['http://www.essex.ac.uk/'],University of Essex
48,['ex.ac.uk'],,United Kingdom,GB,['http://www.ex.ac.uk/'],University of Exeter
49,['falmouth.ac.uk'],,United Kingdom,GB,['http://www.falmouth.ac.uk/'],Falmouth University
50,"['gcal.ac.uk', 'gcu.ac.uk']",,United Kingdom,GB,['http://www.gcal.ac.uk/'],Glasgow Caledonian University
51,['gla.ac.uk'],,United Kingdom,GB,['http://www.gla.ac.uk/'],University of Glasgow
52,['glam.ac.uk'],,United Kingdom,GB,['http://www.glam.ac.uk/'],University of Glamorgan
53,['glos.ac.uk'],,United Kingdom,GB,['http://www.glos.ac.uk/'],University of Gloucestershire
54,['gold.ac.uk'],,United Kingdom,GB,['http://www.gold.ac.uk/'],"Goldsmiths College, University of London"
55,['gre.ac.uk'],,United Kingdom,GB,['http://www.gre.ac.uk/'],University of Greenwich
56,"['gsa.ac.uk', 'student.gsa.ac.uk']",,United Kingdom,GB,['http://www.gsa.ac.uk/'],Glasgow School of Art
57,['halifaxuni.ac'],,United Kingdom,GB,['http://www.halifaxuni.ac/'],"University of Halifax, Birmingham Campus"
58,['herts.ac.uk'],,United Kingdom,GB,['http://www.herts.ac.uk/'],University of Hertfordshire
59,['heythrop.ac.uk'],,United Kingdom,GB,['http://www.heythrop.ac.uk/'],"Heythrop College, University of London"
60,['hope.ac.uk'],,United Kingdom,GB,['http://www.hope.ac.uk/'],Liverpool Hope University College
61,['hud.ac.uk'],,United Kingdom,GB,['http://www.hud.ac.uk/'],University of Huddersfield
62,['hull.ac.uk'],,United Kingdom,GB,['http://www.hull.ac.uk/'],University of Hull
63,['huron.ac.uk'],,United Kingdom,GB,['http://www.huron.ac.uk/'],Huron University USA in London
64,['hw.ac.uk'],,United Kingdom,GB,['http://www.hw.ac.uk/'],Heriot-Watt University
65,"['imperial.ac.uk', 'ic.ac.uk']",,United Kingdom,GB,['http://www.imperial.ac.uk/'],Imperial College London
66,['ifslearning.ac.uk'],,United Kingdom,GB,['http://www.ifslearning.ac.uk/'],ifs University College
67,['ihr.sas.ac.uk'],,United Kingdom,GB,['http://ihr.sas.ac.uk/'],"Institue of Historical Research, University of London"
68,['ioe.ac.uk'],,United Kingdom,GB,['http://www.ioe.ac.uk/'],"Institute of Education, University of London"
69,['islamiccolleges.com'],,United Kingdom,GB,['http://www.islamiccolleges.com/'],International Colleges of Islamic Science
70,['kcl.ac.uk'],,United Kingdom,GB,['http://www.kcl.ac.uk/'],"King's College London, University of London"
71,['keele.ac.uk'],,United Kingdom,GB,['http://www.keele.ac.uk/'],Keele University
72,['kingston.ac.uk'],,United Kingdom,GB,['http://www.kingston.ac.uk/'],Kingston University
73,['kolieh.com'],,United Kingdom,GB,['http://www.kolieh.com/'],International Centre for Isclamic Science
74,['lamp.ac.uk'],,United Kingdom,GB,['http://www.lamp.ac.uk/'],"University of Wales, Lampeter"
75,['lancs.ac.uk'],,United Kingdom,GB,['http://www.lancs.ac.uk/'],University of Lancaster
76,"['lboro.ac.uk', 'student.lboro.ac.uk']",,United Kingdom,GB,['http://www.lboro.ac.uk/'],Loughborough University
77,['lbs.lon.ac.uk'],,United Kingdom,GB,['http://www.lbs.lon.ac.uk/'],London Business School
78,['lcst.ac'],,United Kingdom,GB,['http://www.lcst.ac/'],London College of Science & Technology
79,['le.ac.uk'],,United Kingdom,GB,['http://www.le.ac.uk/'],University of Leicester
80,['leeds.ac.uk'],,United Kingdom,GB,['http://www.leeds.ac.uk/'],University of Leeds
